candidate_id,complete_config_id,family,level,interval_fast_blocks,interval_mid_blocks,interval_slow_blocks,residual_new_weight,threshold_scale,block_size_samples,algorithm,paired_reference_algorithm,trajectory,seed,output_snr_db,a2_output_snr_db,paired_snr_difference_db,frequency_mae_hz,tracker_calls,a2_tracker_calls,tracker_calls_reduction_fraction,state_fast_samples,state_mid_samples,state_slow_samples,state_transitions,host_ns_per_sample,host_tsc_ticks_per_sample,finite
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,105,15.432496258,15.699915317,-0.26741905899999985,0.129838346,38,160,0.7625,699,150,7151,2,623.9,1437.38575,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,106,15.478748799,15.839506387,-0.36075758800000024,0.139414071,36,160,0.775,599,150,7251,2,578.05,1331.74225,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,107,15.590695373,15.867205328,-0.27650995499999986,0.126765322,38,160,0.7625,699,150,7151,2,601.9875,1386.8625,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,108,15.419636956,15.775287621,-0.35565066500000064,0.143477367,36,160,0.775,599,150,7251,2,564.1125,1299.613875,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,109,15.393700261,15.744740631,-0.35104037000000154,0.140664076,36,160,0.775,599,150,7251,2,605.075,1393.982875,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F4,100,14.175415409,14.628981172,-0.4535657630000003,0.275554657,98,160,0.3875,4099,901,3000,12,1700.925,3918.827125,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F4,101,14.173377179,14.6456862,-0.47230902100000094,0.266408727,91,160,0.43125,3450,1300,3250,12,1469.4875,3385.60075,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F4,102,14.17702593,14.640476007,-0.46345007700000096,0.265478594,94,160,0.4125,3850,850,3300,12,1523.5125,3510.0905,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F4,103,14.298787567,14.669328105,-0.3705405380000002,0.259300645,98,160,0.3875,3800,1350,2850,13,1628.9625,3752.82475,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F4,104,14.232757218,14.721445583,-0.4886883649999998,0.266823377,92,160,0.425,3700,1000,3300,13,1530.9875,3527.236125,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F4,105,14.193293475,14.645887715,-0.4525942399999998,0.263151398,95,160,0.40625,3950,800,3250,12,1596.0875,3677.200625,1
