archive,trajectory,pli_amplitude,noise,seed,algorithm,algorithm_name,search_mode,output_snr_db,frequency_mae_hz,rmse,tracker_calls,tracker_searches,tracker_grid_evaluations
main_F0_P020_Z0_N0.npz,F0,0.2,0,1022,2,A2,1,22.568435278415905,0.006562495231628418,0.010832540264101359,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1022,3,A3,0,22.56071709281074,0.012392568588256835,0.010842170217646684,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1022,3,A3,1,22.56071709281074,0.012392568588256835,0.010842170217646684,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1022,7,B4,0,22.496821964812852,0.02765631675720215,0.010922221448911794,16,15,3015
main_F0_P020_Z0_N0.npz,F0,0.2,0,1022,7,B4,1,22.496821964812852,0.02765631675720215,0.010922221448911794,16,15,480
main_F0_P020_Z0_N0.npz,F0,0.2,0,1023,2,A2,0,22.519639985358108,0.006874966621398926,0.010893566191646656,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1023,2,A2,1,22.519639985358108,0.006874966621398926,0.010893566191646656,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1023,3,A3,0,22.514717042509357,0.011542701721191406,0.010899742139822352,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1023,3,A3,1,22.514717042509357,0.011542701721191406,0.010899742139822352,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1023,7,B4,0,22.434920769795067,0.03000044822692871,0.011000338196473005,16,15,3015
main_F0_P020_Z0_N0.npz,F0,0.2,0,1023,7,B4,1,22.434920769795067,0.03000044822692871,0.011000338196473005,16,15,480
main_F0_P020_Z0_N0.npz,F0,0.2,0,1024,2,A2,0,22.302676891084623,0.001249980926513672,0.011169101337789509,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1024,2,A2,1,22.302676891084623,0.001249980926513672,0.011169101337789509,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1024,3,A3,0,22.304154690295075,0.0,0.011167201211747847,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1024,3,A3,1,22.304154690295075,0.0,0.011167201211747847,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1024,7,B4,0,22.304154690295075,0.0,0.011167201211747847,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1024,7,B4,1,22.304154690295075,0.0,0.011167201211747847,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1025,2,A2,0,22.32490337560104,0.0015624761581420898,0.011140557053502967,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1025,2,A2,1,22.32490337560104,0.0015624761581420898,0.011140557053502967,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1025,3,A3,0,22.326629522581015,0.0016403675079345703,0.011138343310406034,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1025,3,A3,1,22.326629522581015,0.0016403675079345703,0.011138343310406034,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1025,7,B4,0,22.325531448063426,0.003749656677246094,0.011139751514356025,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1025,7,B4,1,22.325531448063426,0.003749656677246094,0.011139751514356025,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1026,2,A2,0,22.50164968255749,0.003125,0.010916152438896064,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1026,2,A2,1,22.50164968255749,0.003125,0.010916152438896064,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1026,3,A3,0,22.500589167722715,0.005449104309082031,0.010917485341897348,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1026,3,A3,1,22.500589167722715,0.005449104309082031,0.010917485341897348,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1026,7,B4,0,22.48678601742734,0.013124847412109375,0.010934848617222805,16,15,3015
main_F0_P020_Z0_N0.npz,F0,0.2,0,1026,7,B4,1,22.48678601742734,0.013124847412109375,0.010934848617222805,16,15,480
main_F0_P020_Z0_N0.npz,F0,0.2,0,1027,2,A2,0,22.57016824455384,0.00624995231628418,0.010830379224336746,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1027,2,A2,1,22.57016824455384,0.00624995231628418,0.010830379224336746,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1027,3,A3,0,22.56336693368299,0.011747455596923828,0.010838863055682357,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1027,3,A3,1,22.56336693368299,0.011747455596923828,0.010838863055682357,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1027,7,B4,0,22.600448933345003,0.0,0.010792688168004992,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1027,7,B4,1,22.600448933345003,0.0,0.010792688168004992,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1028,2,A2,0,22.486517355691266,0.002187490463256836,0.010935186846347283,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1028,2,A2,1,22.486517355691266,0.002187490463256836,0.010935186846347283,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1028,3,A3,0,22.485703250658283,0.004262685775756836,0.010936211819980472,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1028,3,A3,1,22.485703250658283,0.004262685775756836,0.010936211819980472,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1028,7,B4,0,22.478576129872422,0.009609603881835937,0.010945189102969906,16,15,3015
main_F0_P020_Z0_N0.npz,F0,0.2,0,1028,7,B4,1,22.478576129872422,0.009609603881835937,0.010945189102969906,16,15,480
main_F0_P020_Z0_N0.npz,F0,0.2,0,1029,2,A2,0,22.530806657553136,0.009687495231628419,0.0108795703055276,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1029,2,A2,1,22.530806657553136,0.009687495231628419,0.0108795703055276,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1029,3,A3,0,22.515881509376822,0.017446112632751466,0.01089828097253205,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1029,3,A3,1,22.515881509376822,0.017446112632751466,0.01089828097253205,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1029,7,B4,0,22.385261212202,0.039609766006469725,0.01106341020438198,16,15,3015
main_F0_P020_Z0_N0.npz,F0,0.2,0,1029,7,B4,1,22.385261212202,0.039609766006469725,0.01106341020438198,16,15,480
main_F0_P020_Z1_N0.npz,F0,0.2,1,1000,2,A2,0,17.985303362466986,0.0053124666213989254,0.018360601627570788,160,159,31959
main_F0_P020_Z1_N0.npz,F0,0.2,1,1000,2,A2,1,17.985303362466986,0.0053124666213989254,0.018360601627570788,160,159,5088
main_F0_P020_Z1_N0.npz,F0,0.2,1,1000,3,A3,0,17.98381131970499,0.010165810585021973,0.01836375584169849,17,16,3216
main_F0_P020_Z1_N0.npz,F0,0.2,1,1000,3,A3,1,17.98381131970499,0.010165810585021973,0.01836375584169849,17,16,512
main_F0_P020_Z1_N0.npz,F0,0.2,1,1000,7,B4,0,17.992686530284818,0.0,0.0183450014057153,14,13,2613
main_F0_P020_Z1_N0.npz,F0,0.2,1,1000,7,B4,1,17.992686530284818,0.0,0.0183450014057153,14,13,416
main_F0_P020_Z1_N0.npz,F0,0.2,1,1001,2,A2,0,17.91041509716027,0.012485098838806153,0.01851958800848516,160,159,31959
main_F0_P020_Z1_N0.npz,F0,0.2,1,1001,2,A2,1,17.91041509716027,0.012485098838806153,0.01851958800848516,160,159,5088
main_F0_P020_Z1_N0.npz,F0,0.2,1,1001,3,A3,0,17.868638716185355,0.03374991416931152,0.018608875918448228,15,14,2814
main_F0_P020_Z1_N0.npz,F0,0.2,1,1001,3,A3,1,17.868638716185355,0.03374991416931152,0.018608875918448228,15,14,448
main_F0_P020_Z1_N0.npz,F0,0.2,1,1001,7,B4,0,17.931485798781615,0.010590505599975587,0.018474716636347192,14,13,2613
main_F0_P020_Z1_N0.npz,F0,0.2,1,1001,7,B4,1,17.931485798781615,0.010590505599975587,0.018474716636347192,14,13,416
main_F0_P020_Z1_N0.npz,F0,0.2,1,1002,2,A2,0,17.92453009127091,0.0028123855590820312,0.018489517214986838,160,159,31959
main_F0_P020_Z1_N0.npz,F0,0.2,1,1002,2,A2,1,17.92453009127091,0.0028123855590820312,0.018489517214986838,160,159,5088
main_F0_P020_Z1_N0.npz,F0,0.2,1,1002,3,A3,0,17.925786406309154,0.0032810211181640626,0.018486843110238165,15,14,2814
main_F0_P020_Z1_N0.npz,F0,0.2,1,1002,3,A3,1,17.925786406309154,0.0032810211181640626,0.018486843110238165,15,14,448
