record,subject_cluster,selected_lead,segment,start_seconds,trajectory,pli_amplitude,noise,algorithm,algorithm_name,output_snr_db,prd_percent,correlation,frequency_mae_hz,tracker_calls,tracker_searches,tracker_grid_evaluations
100,subject_100,MLII,1,900,F3,0.5,none,2,A2,15.533880526270591,16.722683638011198,0.9872932835284196,0.07613456559344159,160,159,5088
100,subject_100,MLII,1,900,F3,0.5,none,3,A3,15.52559032580669,16.738652132421524,0.9872689885652466,0.07804303479357587,148,147,4704
100,subject_100,MLII,1,900,F3,0.5,none,7,B4,15.526899689810802,16.736129036040438,0.9872728291391296,0.07776966405077802,147,146,4672
100,subject_100,MLII,1,900,F3,0.5,20dB,2,A2,14.276582372704699,19.327286365100058,0.9829938034976026,0.07806482625170576,160,159,5088
100,subject_100,MLII,1,900,F3,0.5,20dB,3,A3,14.274223094223405,19.33253679379011,0.9829846694149221,0.07889769387408124,144,143,4576
100,subject_100,MLII,1,900,F3,0.5,20dB,7,B4,14.270113206767023,19.34168650146912,0.9829685375844271,0.08174662900133954,139,138,4416
100,subject_100,MLII,1,900,F4,0.2,none,2,A2,17.127689925653602,13.919239380921356,0.9912504636262065,0.2379688130264135,160,159,5088
100,subject_100,MLII,1,900,F4,0.2,none,3,A3,17.124663412680555,13.924090248304804,0.9912441079964721,0.2377802314239814,155,154,4928
100,subject_100,MLII,1,900,F4,0.2,none,7,B4,17.127689925653602,13.919239380921356,0.9912504636262065,0.2379688130264135,160,159,5088
100,subject_100,MLII,1,900,F4,0.2,20dB,2,A2,15.09791272223479,17.58346106061891,0.9859185304903888,0.23168627747700715,160,159,5088
100,subject_100,MLII,1,900,F4,0.2,20dB,3,A3,15.092351039423162,17.594723574091624,0.98589996664396,0.23372625836537383,149,148,4736
100,subject_100,MLII,1,900,F4,0.2,20dB,7,B4,15.094354303034315,17.59066609619383,0.9859064943265078,0.23325509556935334,156,155,4960
100,subject_100,MLII,1,900,F4,0.5,none,2,A2,14.581673439766003,18.660201457527155,0.984201785727409,0.23268219199505105,160,159,5088
100,subject_100,MLII,1,900,F4,0.5,none,3,A3,14.581673439766003,18.660201457527155,0.984201785727409,0.23268219199505105,160,159,5088
100,subject_100,MLII,1,900,F4,0.5,none,7,B4,14.578054237990518,18.667978335789392,0.98418859314223,0.2333057757886912,158,157,5024
100,subject_100,MLII,1,900,F4,0.5,20dB,2,A2,13.512247607666703,21.105109984825994,0.9798381522845814,0.23502926679044986,160,159,5088
100,subject_100,MLII,1,900,F4,0.5,20dB,3,A3,13.512247607666703,21.105109984825994,0.9798381522845814,0.23502926679044986,160,159,5088
100,subject_100,MLII,1,900,F4,0.5,20dB,7,B4,13.512247607666703,21.105109984825994,0.9798381522845814,0.23502926679044986,160,159,5088
100,subject_100,MLII,1,900,F5,0.2,none,2,A2,17.253681418654566,13.718793821616524,0.9914800997748696,0.07400322437286365,160,159,5088
100,subject_100,MLII,1,900,F5,0.2,none,3,A3,17.248346271059102,13.727222926276811,0.9914692729859739,0.07472558498382557,140,139,4448
100,subject_100,MLII,1,900,F5,0.2,none,7,B4,17.243331774864686,13.73515014888661,0.991459277024663,0.07932727813720745,136,135,4320
100,subject_100,MLII,1,900,F5,0.2,20dB,2,A2,15.41509725709848,16.952944383598396,0.9869767076563406,0.06674638271331572,160,159,5088
100,subject_100,MLII,1,900,F5,0.2,20dB,3,A3,15.415295076815635,16.952558287456974,0.9869774593135783,0.06670151233672916,107,106,3392
100,subject_100,MLII,1,900,F5,0.2,20dB,7,B4,15.409861968669421,16.963165594098893,0.986960676311308,0.07267237186431687,105,104,3328
100,subject_100,MLII,1,900,F5,0.5,none,2,A2,15.552560179616158,16.68675890314728,0.987322914516637,0.05330497264861815,160,159,5088
100,subject_100,MLII,1,900,F5,0.5,none,3,A3,15.552586942623163,16.68670748790071,0.9873229935032299,0.053292741775510244,153,152,4864
100,subject_100,MLII,1,900,F5,0.5,none,7,B4,15.552560179616158,16.68675890314728,0.987322914516637,0.05330516338348144,152,151,4832
100,subject_100,MLII,1,900,F5,0.5,20dB,2,A2,14.176208402191985,19.551927582604854,0.9825464523255817,0.07511349201202135,160,159,5088
100,subject_100,MLII,1,900,F5,0.5,20dB,3,A3,14.163725235651292,19.580047377857394,0.98249645759236,0.07857644081115467,134,133,4256
100,subject_100,MLII,1,900,F5,0.5,20dB,7,B4,14.167451594294358,19.57164908670053,0.9825114466596512,0.0786349105834935,134,133,4256
100,subject_100,MLII,2,1500,F0,0.2,none,2,A2,16.723304187610044,14.582594311535836,0.9902353055212088,0.026975798606872558,160,159,5088
100,subject_100,MLII,2,1500,F0,0.2,none,3,A3,16.724133573441687,14.581201936062843,0.9902371857223043,0.026010847091674803,126,125,4000
100,subject_100,MLII,2,1500,F0,0.2,none,7,B4,16.717533850044312,14.592285253071516,0.9902214428085229,0.02682948112487793,133,132,4224
100,subject_100,MLII,2,1500,F0,0.2,20dB,2,A2,14.86673810493576,18.057727624066256,0.9849892284369817,0.033670997619628905,160,159,5088
100,subject_100,MLII,2,1500,F0,0.2,20dB,3,A3,14.873139998779472,18.044423164992455,0.9850116445646188,0.03240466117858887,108,107,3424
100,subject_100,MLII,2,1500,F0,0.2,20dB,7,B4,14.87100031499076,18.048868779344122,0.985003964521178,0.03500711917877197,113,112,3584
